seed_idx,rung,rung_id,rung_description,fit_type,replicate_id,seed,sub_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B,log_B_eff,rho_collapsed,rho,brier,log_score,brier_improvement_vs_prior,log_score_improvement_vs_prior,evidence_category,correct_sign,classified_present_at_0p5,brier_improvement,log_score_improvement,sweep_beta_pres,sweep_beta_abs,unique_observation_values,mean_leaf_loglik_z0,mean_leaf_loglik_z1
10,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,10,20260511,30260541,Chicken,Chicken,1,-15.038291571100647,-8.75859380014226,6.279697770958387,6.279697770958387,0.9907171444398769,0.9907171444398769,8.617140735010823e-05,-0.00932620977297878,0.6943582730370944,1.7824332594550762,strong_present,True,True,0.6943582730370944,1.7824332594550762,,,"0,1",-15.398009534553312,-2.8841438730959386
10,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,10,20260511,30260541,LLMs,2024 Leading Chat LLMs,0,-6.6653591247532775,-15.03829172225331,-8.372932597500032,-8.372932597500032,4.620526911503843e-05,4.620526911503843e-05,2.134926893993124e-09,-4.620633661136819e-05,0.02777777564285088,0.18227535045734325,strong_absent,True,False,0.02777777564285088,0.18227535045734325,,,"0,1",-0.6758146387211081,-17.60633876892814
11,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,11,20260511,31260544,Chicken,Chicken,0,-17.591901349898535,-21.778357585648735,-4.1864562357501995,-4.1864562357501995,0.0030307973335693163,0.0030307973335693163,9.185732477170878e-06,-0.003035399500984764,0.027768592045300605,0.17928615729296984,strong_absent,True,False,0.027768592045300605,0.17928615729296984,,,"0,1",-5.460527979866574,-12.821625427782674
11,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,11,20260511,31260544,LLMs,2024 Leading Chat LLMs,1,-17.9827230489271,-9.609797160503668,8.372925888423431,8.372925888423431,0.9988461400769715,0.9988461400769715,1.3313927219713863e-06,-0.001154526131913303,0.6944431130517226,1.7906049430961417,strong_present,True,True,0.6944431130517226,1.7906049430961417,,,"0,1",-17.238283896532337,-1.0438695111169132
12,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,12,20260511,32260547,Chicken,Chicken,1,-10.851767504961332,-12.945056744561317,-2.0932892395999847,-2.0932892395999847,0.02406289413594648,0.02406289413594648,0.9524532346023047,-3.7270842873925814,-0.25800879015786016,-1.9353248181645264,moderate_absent,False,False,-0.25800879015786016,-1.9353248181645264,,,"0,1",-6.564692597053989,-11.71746081059526
12,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,12,20260511,32260547,LLMs,2024 Leading Chat LLMs,0,-7.907390742079845,-7.907390742079846,-8.881784197001252e-16,-8.881784197001252e-16,0.16666666666666652,0.16666666666666652,0.027777777777777728,-0.18232155679395445,4.85722573273506e-17,1.6653345369377348e-16,ambiguous,True,False,4.85722573273506e-17,1.6653345369377348e-16,,,"0,1",-9.141076703824625,-9.141076703824625
13,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,13,20260511,33260550,Chicken,Chicken,0,-8.75859380014226,-15.038291571100649,-6.279697770958389,-6.279697770958389,0.0003746529577249834,0.0003746529577249834,1.403648387320782e-07,-0.00037472315767864383,0.027777637412939045,0.18194683363627598,strong_absent,True,False,0.027777637412939045,0.18194683363627598,,,"0,1",-2.8841438730959386,-15.398009534553312
13,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,13,20260511,33260550,LLMs,2024 Leading Chat LLMs,1,-15.03823715804462,-8.758587091478025,6.279650066566594,6.279650066566594,0.9907167057073827,0.9907167057073827,8.617955292334124e-05,-0.009326652616421866,0.6943582648915212,1.782432816611633,strong_present,True,True,0.6943582648915212,1.782432816611633,,,"0,1",-15.39800953455331,-2.8841438730959386
14,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,14,20260511,34260553,Chicken,Chicken,1,-15.038291571100647,-8.758593800142261,6.279697770958386,6.279697770958386,0.9907171444398769,0.9907171444398769,8.617140735010823e-05,-0.00932620977297878,0.6943582730370944,1.7824332594550762,strong_present,True,True,0.6943582730370944,1.7824332594550762,,,"0,1",-15.39800953455331,-2.884143873095939
14,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,14,20260511,34260553,LLMs,2024 Leading Chat LLMs,0,-9.609797160509997,-17.982723049343484,-8.372925888833487,-8.372925888833487,4.6205579077498574e-05,4.6205579077498574e-05,2.134955537886974e-09,-4.6206646588150945e-05,0.027777775642822237,0.18227535014736648,strong_absent,True,False,0.027777775642822237,0.18227535014736648,,,"0,1",-1.0438695111169132,-17.238283896532337
